Time elapsed was 583013071151ns or 583.013071151s,583.013071151
Time elapsed was 579479741635ns or 579.479741635s,579.479741635
Time elapsed was 576892750347ns or 576.892750347s,576.892750347
Time elapsed was 579439330694ns or 579.439330694s,579.439330694
Time elapsed was 593920518478ns or 593.920518478s,593.920518478
Time elapsed was 584530014051ns or 584.530014051s,584.530014051
Time elapsed was 588921494183ns or 588.921494183s,588.921494183
Time elapsed was 594053188292ns or 594.053188292s,594.053188292
Time elapsed was 618487185453ns or 618.487185453s,618.487185453
Time elapsed was 597344113038ns or 597.344113038s,597.344113038
,589.60814073
