s,a
0.00,24.00
1.00,26.50
2.00,29.00
3.00,31.50
4.00,34.00
5.00,36.50
6.00,39.00
7.00,41.50
8.00,44.00
9.00,46.50
10.00,49.00
11.00,51.50
12.00,54.00
13.00,56.50
14.00,59.00
15.00,61.50
16.00,64.00
17.00,66.50
18.00,69.00
19.00,71.50
20.00,74.00
21.00,76.50
22.00,79.00
23.00,81.50
24.00,84.00
25.00,86.50
26.00,89.00
27.00,91.50
28.00,94.00
29.00,96.50
30.00,99.00
31.00,101.50
32.00,104.00
33.00,106.50
34.00,109.00
35.00,111.50
36.00,114.00
37.00,116.50
38.00,119.00
39.00,121.50
40.00,124.00
41.00,126.50
42.00,129.00
43.00,131.50
44.00,134.00
45.00,136.50
46.00,139.00
47.00,141.50
48.00,144.00
49.00,146.50
50.00,149.00
51.00,151.50
52.00,154.00
53.00,156.50
54.00,159.00
55.00,161.50
56.00,164.00
57.00,166.50
58.00,169.00
59.00,171.50
60.00,174.00
61.00,176.50
62.00,179.00
63.00,181.50
64.00,184.00
65.00,186.50
66.00,189.00
67.00,191.50
68.00,194.00
69.00,196.50
70.00,199.00
71.00,201.50
72.00,204.00
73.00,206.50
74.00,209.00
75.00,211.50
76.00,214.00
77.00,216.50
78.00,219.00
79.00,221.50
80.00,224.00
81.00,226.50
82.00,229.00
83.00,231.50
84.00,234.00
85.00,236.50
86.00,239.00
87.00,241.50
88.00,244.00
89.00,246.50
90.00,249.00
91.00,251.50
92.00,254.00
93.00,256.50
94.00,259.00
95.00,261.50
96.00,264.00
97.00,266.50
98.00,269.00
99.00,271.50
